States,Counts
"1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1",0.097
"0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1",0.0652
"1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0",0.0044
"1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0",0.0102
"0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0",0.0914
"1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0",0.0958
"1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0",0.0616
"1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0",0.0554
"1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1",0.0598
"0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0",0.0642
"0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1",0.0638
"1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1",0.0592
"0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1",0.0016
"0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0",0.0592
"0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0",0.0014
"1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1",0.011
"0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0",0.012
"0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1",0.0982
"0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1",0.0036
"0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1",0.0018
"0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1",0.0026
"0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0",0.0034
"0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1",0.0082
"1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1",0.0032
"0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0",0.0012
"1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1",0.0054
"1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0",0.006
"0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0",0.0036
"1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1",0.0006
"1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0",0.0026
"1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0",0.0014
"1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1",0.0038
"0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0",0.0024
"1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0",0.0032
"0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1",0.0038
"0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1",0.0002
"0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1",0.0008
"0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1",0.0052
"0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0",0.0044
"1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0",0.0004
"0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0",0.0014
"0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1",0.0018
"1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1",0.0028
"1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1",0.0014
"1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1",0.001
"1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1",0.0016
"1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1",0.0006
"0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0",0.001
"1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0",0.001
"0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1",0.0004
"1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0",0.001
"1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1",0.0008
"0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0",0.0004
"0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1",0.0008
"0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1",0.0004
"1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0",0.0016
"0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1",0.0004
"1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0",0.0004
"0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0",0.0008
"1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1",0.0002
"1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0",0.0004
"1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0",0.0002
"0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0",0.0002
"0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0",0.0002
